region,displayName,isoCountryCode,regionCategory,instance,available,restriction_type,restriction_reason,sku_capacity,linux_price_hourly,spot_price_hourly,spot_discount_pct,currencyCode,unitOfMeasure
centralus,Central US,US,Recommended,Standard_DS4_v2,unknown,,,,0.585,0.113373,80.6,USD,1 Hour
centralus,Central US,US,Recommended,Standard_E2_v3,unknown,,,,0.146,0.024397,83.3,USD,1 Hour
centralus,Central US,US,Recommended,Standard_E2s_v3,unknown,,,,0.146,0.024397,83.3,USD,1 Hour
centralus,Central US,US,Recommended,Standard_E2s_v4,unknown,,,,0.142,0.026298,81.5,USD,1 Hour
centralus,Central US,US,Recommended,Standard_E2s_v5,unknown,,,,0.142,0.026242,81.5,USD,1 Hour
centralus,Central US,US,Recommended,Standard_E2s_v6,unknown,,,,0.15,0.027315,81.8,USD,1 Hour
centralus,Central US,US,Recommended,Standard_F4,unknown,,,,0.219,0.042442,80.6,USD,1 Hour
centralus,Central US,US,Recommended,Standard_F4s,unknown,,,,0.219,0.042442,80.6,USD,1 Hour
centralus,Central US,US,Recommended,Standard_F4s_v2,unknown,,,,0.204,0.034,83.3,USD,1 Hour
centralus,Central US,US,Recommended,Standard_FX4mds,unknown,,,,,,,,
chilecentral,Chile Central,CL,Recommended,Standard_B4ms,unknown,,,,0.233,,,USD,1 Hour
chilecentral,Chile Central,CL,Recommended,Standard_D4,unknown,,,,,,,,
chilecentral,Chile Central,CL,Recommended,Standard_D4_v2,unknown,,,,,,,,
chilecentral,Chile Central,CL,Recommended,Standard_D4s_v3,unknown,,,,,,,,
chilecentral,Chile Central,CL,Recommended,Standard_D4s_v4,unknown,,,,0.269,0.049711,81.5,USD,1 Hour
chilecentral,Chile Central,CL,Recommended,Standard_D4s_v5,unknown,,,,0.269,0.049711,81.5,USD,1 Hour
chilecentral,Chile Central,CL,Recommended,Standard_D4s_v6,unknown,,,,,,,,
chilecentral,Chile Central,CL,Recommended,Standard_DS4_v2,unknown,,,,,,,,
chilecentral,Chile Central,CL,Recommended,Standard_E2_v3,unknown,,,,,,,,
chilecentral,Chile Central,CL,Recommended,Standard_E2s_v3,unknown,,,,,,,,
chilecentral,Chile Central,CL,Recommended,Standard_E2s_v4,unknown,,,,0.176,0.032525,81.5,USD,1 Hour
chilecentral,Chile Central,CL,Recommended,Standard_E2s_v5,unknown,,,,0.176,0.032525,81.5,USD,1 Hour
chilecentral,Chile Central,CL,Recommended,Standard_E2s_v6,unknown,,,,0.185,0.034188,81.5,USD,1 Hour
chilecentral,Chile Central,CL,Recommended,Standard_F4,unknown,,,,0.278,0.0557,80.0,USD,1 Hour
chilecentral,Chile Central,CL,Recommended,Standard_F4s,unknown,,,,0.278,0.056601,79.6,USD,1 Hour
chilecentral,Chile Central,CL,Recommended,Standard_F4s_v2,unknown,,,,0.237,0.043798,81.5,USD,1 Hour
chilecentral,Chile Central,CL,Recommended,Standard_FX4mds,unknown,,,,,,,,
denmarkeast,Denmark East,DK,Recommended,Standard_B4ms,unknown,,,,,,,,
denmarkeast,Denmark East,DK,Recommended,Standard_D4,unknown,,,,,,,,
denmarkeast,Denmark East,DK,Recommended,Standard_D4_v2,unknown,,,,,,,,
denmarkeast,Denmark East,DK,Recommended,Standard_D4s_v3,unknown,,,,,,,,
denmarkeast,Denmark East,DK,Recommended,Standard_D4s_v4,unknown,,,,0.23,0.042504,81.5,USD,1 Hour
denmarkeast,Denmark East,DK,Recommended,Standard_D4s_v5,unknown,,,,0.23,0.042504,81.5,USD,1 Hour
denmarkeast,Denmark East,DK,Recommended,Standard_D4s_v6,unknown,,,,0.242,0.044722,81.5,USD,1 Hour
denmarkeast,Denmark East,DK,Recommended,Standard_DS4_v2,unknown,,,,,,,,
denmarkeast,Denmark East,DK,Recommended,Standard_E2_v3,unknown,,,,,,,,
denmarkeast,Denmark East,DK,Recommended,Standard_E2s_v3,unknown,,,,,,,,
denmarkeast,Denmark East,DK,Recommended,Standard_E2s_v4,unknown,,,,0.152,0.02809,81.5,USD,1 Hour
