region,displayName,isoCountryCode,regionCategory,instance,available,restriction_type,restriction_reason,sku_capacity,linux_price_hourly,spot_price_hourly,spot_discount_pct,currencyCode,unitOfMeasure,effectiveStartDate,latitude,longitude
northeurope,North Europe,IE,Recommended,Standard_F4s_v2,unknown,,,,0.192,0.0384,80.0,USD,1 Hour,2025-10-01T00:00:00Z,53.35,-6.26
norwayeast,Norway East,NO,Recommended,Standard_B4ms,unknown,,,,0.211,,,USD,1 Hour,2025-10-01T00:00:00Z,59.91,10.75
norwayeast,Norway East,NO,Recommended,Standard_D4s_v3,unknown,,,,0.264,0.048787,81.5,USD,1 Hour,2019-11-19T00:00:00Z,59.91,10.75
norwayeast,Norway East,NO,Recommended,Standard_E2s_v3,unknown,,,,0.176,0.032525,81.5,USD,1 Hour,2019-11-19T00:00:00Z,59.91,10.75
norwayeast,Norway East,NO,Recommended,Standard_F4s_v2,unknown,,,,0.214,0.039547,81.5,USD,1 Hour,2025-10-01T00:00:00Z,59.91,10.75
norwaywest,Norway West,NO,Recommended,Standard_B4ms,unknown,,,,0.275,,,USD,1 Hour,2025-10-01T00:00:00Z,60.39,5.32
norwaywest,Norway West,NO,Recommended,Standard_D4s_v3,unknown,,,,0.343,0.063386,81.5,USD,1 Hour,2019-11-19T00:00:00Z,60.39,5.32
norwaywest,Norway West,NO,Recommended,Standard_E2s_v3,unknown,,,,0.229,0.042319,81.5,USD,1 Hour,2019-11-19T00:00:00Z,60.39,5.32
norwaywest,Norway West,NO,Recommended,Standard_F4s_v2,unknown,,,,0.316,0.058397,81.5,USD,1 Hour,2025-10-01T00:00:00Z,60.39,5.32
polandcentral,Poland Central,PL,Recommended,Standard_B4ms,unknown,,,,0.192,,,USD,1 Hour,2025-10-01T00:00:00Z,52.23,21.01
polandcentral,Poland Central,PL,Recommended,Standard_D4s_v3,unknown,,,,0.23,0.042504,81.5,USD,1 Hour,2025-02-01T00:00:00Z,52.23,21.01
polandcentral,Poland Central,PL,Recommended,Standard_E2s_v3,unknown,,,,0.152,0.02809,81.5,USD,1 Hour,2025-02-01T00:00:00Z,52.23,21.01
polandcentral,Poland Central,PL,Recommended,Standard_F4s_v2,unknown,,,,0.194,0.035851,81.5,USD,1 Hour,2025-10-01T00:00:00Z,52.23,21.01
qatarcentral,Qatar Central,QA,Recommended,Standard_B4ms,unknown,,,,0.201,,,USD,1 Hour,2025-10-01T00:00:00Z,25.29,51.53
qatarcentral,Qatar Central,QA,Recommended,Standard_D4s_v3,unknown,,,,0.235,0.043428,81.5,USD,1 Hour,2022-07-05T00:00:00Z,25.29,51.53
qatarcentral,Qatar Central,QA,Recommended,Standard_E2s_v3,unknown,,,,0.155,0.028644,81.5,USD,1 Hour,2022-07-05T00:00:00Z,25.29,51.53
qatarcentral,Qatar Central,QA,Recommended,Standard_F4s_v2,unknown,,,,0.211,0.038993,81.5,USD,1 Hour,2025-10-01T00:00:00Z,25.29,51.53
southafricanorth,South Africa North,ZA,Recommended,Standard_B4ms,unknown,,,,0.217,,,USD,1 Hour,2025-10-01T00:00:00Z,-26.2,28.05
southafricanorth,South Africa North,ZA,Recommended,Standard_D4s_v3,unknown,,,,0.254,0.046939,81.5,USD,1 Hour,2020-09-01T00:00:00Z,-26.2,28.05
southafricanorth,South Africa North,ZA,Recommended,Standard_E2s_v3,unknown,,,,0.168,0.031046,81.5,USD,1 Hour,2020-09-01T00:00:00Z,-26.2,28.05
southafricanorth,South Africa North,ZA,Recommended,Standard_F4s_v2,unknown,,,,0.228,0.042134,81.5,USD,1 Hour,2025-10-01T00:00:00Z,-26.2,28.05
southafricawest,South Africa West,ZA,Recommended,Standard_B4ms,unknown,,,,0.27125,,,USD,1 Hour,2025-10-01T00:00:00Z,-33.92,18.42
southafricawest,South Africa West,ZA,Recommended,Standard_D4s_v3,unknown,,,,0.3175,0.058833,81.5,USD,1 Hour,2020-09-01T00:00:00Z,-33.92,18.42
southafricawest,South Africa West,ZA,Recommended,Standard_E2s_v3,unknown,,,,0.21,0.038913,81.5,USD,1 Hour,2020-09-01T00:00:00Z,-33.92,18.42
southafricawest,South Africa West,ZA,Recommended,Standard_F4s_v2,unknown,,,,0.17,0.031518,81.5,USD,1 Hour,2025-10-01T00:00:00Z,-33.92,18.42
southcentralus,South Central US,US,Recommended,Standard_B4ms,unknown,,,,0.2,,,USD,1 Hour,2025-10-01T00:00:00Z,29.42,-98.49
southcentralus,South Central US,US,Recommended,Standard_D4s_v3,unknown,,,,0.22,0.040656,81.5,USD,1 Hour,2017-07-21T00:00:00Z,29.42,-98.49
southcentralus,South Central US,US,Recommended,Standard_E2s_v3,unknown,,,,0.146,0.026981,81.5,USD,1 Hour,2017-03-01T00:00:00Z,29.42,-98.49
southcentralus,South Central US,US,Recommended,Standard_F4s_v2,unknown,,,,0.204,0.034,83.3,USD,1 Hour,2025-10-01T00:00:00Z,29.42,-98.49
southeastasia,Southeast Asia,SG,Recommended,Standard_B4ms,unknown,,,,0.211,,,USD,1 Hour,2025-10-01T00:00:00Z,1.35,103.82
southeastasia,Southeast Asia,SG,Recommended,Standard_D4s_v3,unknown,,,,0.25,0.0462,81.5,USD,1 Hour,2017-06-17T00:00:00Z,1.35,103.82
southeastasia,Southeast Asia,SG,Recommended,Standard_E2s_v3,unknown,,,,0.16,0.029568,81.5,USD,1 Hour,2017-03-01T00:00:00Z,1.35,103.82
southeastasia,Southeast Asia,SG,Recommended,Standard_F4s_v2,unknown,,,,0.196,0.036221,81.5,USD,1 Hour,2025-10-01T00:00:00Z,1.35,103.82
southindia,South India,IN,Recommended,Standard_B4ms,unknown,,,,0.236,,,USD,1 Hour,2025-10-01T00:00:00Z,13.08,80.27
southindia,South India,IN,Recommended,Standard_D4s_v3,unknown,,,,0.271,0.050081,81.5,USD,1 Hour,2017-07-21T00:00:00Z,13.08,80.27
