Region,AccessFrequency,Performance,Redundancy,PricePerGB
eastus,Transaction Optimized,Premium SSD,GRS,na
eastus,Transaction Optimized,Premium SSD,ZRS,na
eastus,Transaction Optimized,Premium SSD,GZRS,na
eastus2,Hot Tier,Standard HDD,LRS,0.0255
eastus2,Hot Tier,Standard HDD,GRS,0.0508
eastus2,Hot Tier,Standard HDD,ZRS,0.0317
eastus2,Hot Tier,Standard HDD,GZRS,0.0593
eastus2,Hot Tier,Premium SSD,LRS,0.16
eastus2,Hot Tier,Premium SSD,GRS,na
eastus2,Hot Tier,Premium SSD,ZRS,0.2
eastus2,Hot Tier,Premium SSD,GZRS,na
eastus2,Cool Tier,Standard HDD,LRS,0.015
eastus2,Cool Tier,Standard HDD,GRS,0.03
eastus2,Cool Tier,Standard HDD,ZRS,0.0188
eastus2,Cool Tier,Standard HDD,GZRS,0.0338
eastus2,Cool Tier,Premium SSD,LRS,na
eastus2,Cool Tier,Premium SSD,GRS,na
eastus2,Cool Tier,Premium SSD,ZRS,na
eastus2,Cool Tier,Premium SSD,GZRS,na
eastus2,Transaction Optimized,Standard HDD,LRS,0.06
eastus2,Transaction Optimized,Standard HDD,GRS,0.1
eastus2,Transaction Optimized,Standard HDD,ZRS,0.075
eastus2,Transaction Optimized,Standard HDD,GZRS,0.135
eastus2,Transaction Optimized,Premium SSD,LRS,na
eastus2,Transaction Optimized,Premium SSD,GRS,na
eastus2,Transaction Optimized,Premium SSD,ZRS,na
eastus2,Transaction Optimized,Premium SSD,GZRS,na
francecentral,Hot Tier,Standard HDD,LRS,0.0288
francecentral,Hot Tier,Standard HDD,GRS,0.0576
francecentral,Hot Tier,Standard HDD,ZRS,0.036
francecentral,Hot Tier,Standard HDD,GZRS,0.0734
francecentral,Hot Tier,Premium SSD,LRS,0.176
francecentral,Hot Tier,Premium SSD,GRS,na
francecentral,Hot Tier,Premium SSD,ZRS,0.22
francecentral,Hot Tier,Premium SSD,GZRS,na
francecentral,Cool Tier,Standard HDD,LRS,0.0158
francecentral,Cool Tier,Standard HDD,GRS,0.0315
francecentral,Cool Tier,Standard HDD,ZRS,0.0197
francecentral,Cool Tier,Standard HDD,GZRS,0.04025
francecentral,Cool Tier,Premium SSD,LRS,na
francecentral,Cool Tier,Premium SSD,GRS,na
francecentral,Cool Tier,Premium SSD,ZRS,na
francecentral,Cool Tier,Premium SSD,GZRS,na
francecentral,Transaction Optimized,Standard HDD,LRS,0.075
francecentral,Transaction Optimized,Standard HDD,GRS,0.125
francecentral,Transaction Optimized,Standard HDD,ZRS,0.09375
francecentral,Transaction Optimized,Standard HDD,GZRS,0.19125
francecentral,Transaction Optimized,Premium SSD,LRS,na
francecentral,Transaction Optimized,Premium SSD,GRS,na
francecentral,Transaction Optimized,Premium SSD,ZRS,na
francecentral,Transaction Optimized,Premium SSD,GZRS,na
francesouth,Hot Tier,Standard HDD,LRS,0.0374
francesouth,Hot Tier,Standard HDD,GRS,0.0749
francesouth,Hot Tier,Standard HDD,ZRS,na
francesouth,Hot Tier,Standard HDD,GZRS,na
francesouth,Hot Tier,Premium SSD,LRS,0.243
francesouth,Hot Tier,Premium SSD,GRS,na
francesouth,Hot Tier,Premium SSD,ZRS,na
francesouth,Hot Tier,Premium SSD,GZRS,na
francesouth,Cool Tier,Standard HDD,LRS,0.0205
francesouth,Cool Tier,Standard HDD,GRS,0.041
francesouth,Cool Tier,Standard HDD,ZRS,na
francesouth,Cool Tier,Standard HDD,GZRS,na
francesouth,Cool Tier,Premium SSD,LRS,na
francesouth,Cool Tier,Premium SSD,GRS,na
francesouth,Cool Tier,Premium SSD,ZRS,na
francesouth,Cool Tier,Premium SSD,GZRS,na
francesouth,Transaction Optimized,Standard HDD,LRS,0.0975
francesouth,Transaction Optimized,Standard HDD,GRS,0.1625
francesouth,Transaction Optimized,Standard HDD,ZRS,na
francesouth,Transaction Optimized,Standard HDD,GZRS,na
francesouth,Transaction Optimized,Premium SSD,LRS,na
francesouth,Transaction Optimized,Premium SSD,GRS,na
francesouth,Transaction Optimized,Premium SSD,ZRS,na
francesouth,Transaction Optimized,Premium SSD,GZRS,na
germanynorth,Hot Tier,Standard HDD,LRS,0.0271
germanynorth,Hot Tier,Standard HDD,GRS,0.0541
germanynorth,Hot Tier,Standard HDD,ZRS,na
germanynorth,Hot Tier,Standard HDD,GZRS,na
germanynorth,Hot Tier,Premium SSD,LRS,0.25
germanynorth,Hot Tier,Premium SSD,GRS,na
germanynorth,Hot Tier,Premium SSD,ZRS,na
germanynorth,Hot Tier,Premium SSD,GZRS,na
germanynorth,Cool Tier,Standard HDD,LRS,0.015
germanynorth,Cool Tier,Standard HDD,GRS,0.03
germanynorth,Cool Tier,Standard HDD,ZRS,na
germanynorth,Cool Tier,Standard HDD,GZRS,na
germanynorth,Cool Tier,Premium SSD,LRS,na
germanynorth,Cool Tier,Premium SSD,GRS,na
germanynorth,Cool Tier,Premium SSD,ZRS,na
germanynorth,Cool Tier,Premium SSD,GZRS,na
germanynorth,Transaction Optimized,Standard HDD,LRS,0.0577
germanynorth,Transaction Optimized,Standard HDD,GRS,0.0962
germanynorth,Transaction Optimized,Standard HDD,ZRS,na
germanynorth,Transaction Optimized,Standard HDD,GZRS,na
germanynorth,Transaction Optimized,Premium SSD,LRS,na
germanynorth,Transaction Optimized,Premium SSD,GRS,na
germanynorth,Transaction Optimized,Premium SSD,ZRS,na
germanynorth,Transaction Optimized,Premium SSD,GZRS,na
germanywestcentral,Hot Tier,Standard HDD,LRS,0.0271
germanywestcentral,Hot Tier,Standard HDD,GRS,0.0541
germanywestcentral,Hot Tier,Standard HDD,ZRS,0.0331
germanywestcentral,Hot Tier,Standard HDD,GZRS,0.0635
germanywestcentral,Hot Tier,Premium SSD,LRS,0.192
germanywestcentral,Hot Tier,Premium SSD,GRS,na
germanywestcentral,Hot Tier,Premium SSD,ZRS,0.24
germanywestcentral,Hot Tier,Premium SSD,GZRS,na
germanywestcentral,Cool Tier,Standard HDD,LRS,0.015
